📺央视频道,#genre#
CCTV1-综合,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV1
CCTV2-财经,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV2
CCTV3-综艺,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV3
CCTV4-国际,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV4
CCTV5-体育,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV5
CCTV6-电影,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV6
CCTV7-军农,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV7
CCTV8-电视剧,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV8
CCTV9-纪录,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV9
CCTV10-科教,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV10
CCTV11-戏曲,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV11
CCTV12-社会与法,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV12
CCTV13-新闻,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV13
CCTV14-少儿,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV14
CCTV15-音乐,http://103.45.128.46:2001/jmb/IPTV.php?id=CCTV15
卫视,#genre#
北京卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=北京卫视
湖南卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=湖南卫视
东方卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=东方卫视
江苏卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=江苏卫视
浙江卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=浙江卫视
安徽卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=安徽卫视
吉林卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=吉林卫视
辽宁卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=辽宁卫视
黑龙江卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=黑龙江卫视
河北卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=河北卫视
山东卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=山东卫视
天津卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=天津卫视
河南卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=河南卫视
湖北卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=湖北卫视
东南卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=东南卫视
四川卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=四川卫视
江西卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=江西卫视
广东卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=广东卫视
深圳卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=深圳卫视
广西卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=广西卫视
重庆卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=重庆卫视
贵州卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=贵州卫视
陕西卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=陕西卫视
甘肃卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=甘肃卫视
内蒙古卫视,http://103.45.128.46:2001/jmb/IPTV.php?id=内蒙古卫视
