央视,#genre#
CCTV1综合,http://120.211.119.222:8899/hls/1/index.m3u8
CCTV2财经,http://120.211.119.222:8899/hls/2/index.m3u8
CCTV3综艺,http://120.211.119.222:8899/hls/3/index.m3u8
CCTV5体育,http://120.211.119.222:8899/hls/5/index.m3u8
CCTV6电影,http://120.211.119.222:8899/hls/6/index.m3u8
CCTV7军事农业,http://120.211.119.222:8899/hls/7/index.m3u8
CCTV8电视剧,http://120.211.119.222:8899/hls/8/index.m3u8
CCTV9记录,http://120.211.119.222:8899/hls/9/index.m3u8
CCTV10科教,http://120.211.119.222:8899/hls/10/index.m3u8
CCTV12社会与法,http://120.211.119.222:8899/hls/12/index.m3u8
CCTV13新闻,http://120.211.119.222:8899/hls/13/index.m3u8
CCTV14少儿,http://120.211.119.222:8899/hls/14/index.m3u8
CCTV16外语,http://120.211.119.222:8899/hls/16/index.m3u8
CCTV5+体育,http://120.211.119.222:8899/hls/17/index.m3u8
卫视,#genre#
河北卫视,http://120.211.119.222:8899/hls/18/index.m3u8
湖南卫视,http://120.211.119.222:8899/hls/19/index.m3u8
江苏卫视,http://120.211.119.222:8899/hls/20/index.m3u8
北京卫视,http://120.211.119.222:8899/hls/21/index.m3u8
天津卫视,http://120.211.119.222:8899/hls/22/index.m3u8
深圳卫视,http://120.211.119.222:8899/hls/23/index.m3u8
山东卫视,http://120.211.119.222:8899/hls/24/index.m3u8
广东卫视,http://120.211.119.222:8899/hls/25/index.m3u8
浙江卫视,http://120.211.119.222:8899/hls/26/index.m3u8
黑龙江卫视,http://120.211.119.222:8899/hls/27/index.m3u8
辽宁卫视,http://120.211.119.222:8899/hls/28/index.m3u8
安徽卫视,http://120.211.119.222:8899/hls/29/index.m3u8
湖北卫视,http://120.211.119.222:8899/hls/30/index.m3u8
四川卫视,http://120.211.119.222:8899/hls/31/index.m3u8
重庆卫视,http://120.211.119.222:8899/hls/33/index.m3u8
广西卫视,http://120.211.119.222:8899/hls/35/index.m3u8
河北,#genre#
河北经济,http://120.211.119.222:8899/hls/58/index.m3u8
河北都市,http://120.211.119.222:8899/hls/59/index.m3u8
河北影视,http://120.211.119.222:8899/hls/60/index.m3u8
河北少儿,http://120.211.119.222:8899/hls/61/index.m3u8
河北公共,http://120.211.119.222:8899/hls/62/index.m3u8
河北农民,http://120.211.119.222:8899/hls/63/index.m3u8
石家庄娱乐,http://120.211.119.222:8899/hls/65/index.m3u8
石家庄生活,http://120.211.119.222:8899/hls/66/index.m3u8
石家庄都市,http://120.211.119.222:8899/hls/67/index.m3u8
