📺央视频道,#genre#
CCTV1-综合,http://120.211.62.180:8000/hls/1/index.m3u8
CCTV2-财经,http://120.211.62.180:8000/hls/2/index.m3u8
CCTV3综艺,http://120.211.62.180:8000/hls/3/index.m3u8
CCTV4-国际,http://120.211.62.180:8000/hls/4/index.m3u8
CCTV5体育,http://120.211.62.180:8000/hls/5/index.m3u8
CCTV6电影,http://120.211.62.180:8000/hls/6/index.m3u8
CCTV7-军农,http://120.211.62.180:8000/hls/7/index.m3u8
CCTV8电视剧,http://120.211.62.180:8000/hls/8/index.m3u8
CCTV9-纪录,http://120.211.62.180:8000/hls/9/index.m3u8
CCTV10-科教,http://120.211.62.180:8000/hls/10/index.m3u8
CCTV11-戏曲,http://120.211.62.180:8000/hls/11/index.m3u8
CCTV12-社会与法,http://120.211.62.180:8000/hls/12/index.m3u8
CCTV13-新闻,http://120.211.62.180:8000/hls/13/index.m3u8
CCTV14-少儿,http://120.211.62.180:8000/hls/14/index.m3u8
CCTV15-音乐,http://120.211.62.180:8000/hls/15/index.m3u8
CCTV17,http://120.211.62.180:8000/hls/17/index.m3u8
CCTV5+体育赛事,http://120.211.62.180:8000/hls/18/index.m3u8
卫视,#genre#
湖南卫视,http://120.211.62.180:8000/hls/30/index.m3u8
浙江卫视,http://120.211.62.180:8000/hls/31/index.m3u8
江苏卫视,http://120.211.62.180:8000/hls/32/index.m3u8
安徽卫视,http://120.211.62.180:8000/hls/33/index.m3u8
东南卫视,http://120.211.62.180:8000/hls/34/index.m3u8
北京卫视,http://120.211.62.180:8000/hls/35/index.m3u8
天津卫视,http://120.211.62.180:8000/hls/36/index.m3u8
辽宁卫视,http://120.211.62.180:8000/hls/37/index.m3u8
河北,#genre#
河北卫视,http://120.211.62.180:8000/hls/19/index.m3u8
河北经济,http://120.211.62.180:8000/hls/20/index.m3u8
河北都市,http://120.211.62.180:8000/hls/21/index.m3u8
河北影视,http://120.211.62.180:8000/hls/22/index.m3u8
河北少儿,http://120.211.62.180:8000/hls/23/index.m3u8
文旅公共,http://120.211.62.180:8000/hls/24/index.m3u8
农民,http://120.211.62.180:8000/hls/25/index.m3u8
邢台综合,http://120.211.62.180:8000/hls/27/index.m3u8
邢台都市,http://120.211.62.180:8000/hls/29/index.m3u8
